Team ID , Team  , Region , Country , Track , Section , Size , Status
1319,Aachen,Europe,Germany,Measurement,Overgrad,20,Accepted
1443,Aalto-Helsinki,Europe,Finland,Entrepreneurship,Undergrad,11,Accepted
1352,Aberdeen_Scotland,Europe,United Kingdom,Health & Medicine,Overgrad,11,Accepted
1261,Acton-BoxboroughRHS,North America,United States,Food & Energy(P),High School,18,Accepted
1571,agroecology,North America,United States,,Team not yet accepted,0,Pending
1341,AHUT_China,Asia,China,Information Processing,Undergrad,24,Accepted
1349,Aix-Marseille,Europe,France,Foundational Advance,Overgrad,11,Accepted
1281,AMSA_WeColi,North America,United States,,High School,14,Accepted
1436,AMU-Poznan,Europe,Poland,Software,Overgrad,7,Accepted
1302,Anatolia_Greece,Europe,Greece,Environment(P),High School,17,Accepted
1546,ARCPetriDish,North America,Unspecified,Community Labs,Unspecified,0,Deleted
1502,Arizona_State,North America,United States,Energy,Undergrad,11,Accepted
1543,ArtCenter_MDP,North America,United States,Art & Design,Unspecified,1,Accepted
1456,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Undergrad,26,Accepted
1530,Auckland_New_Zealand,Asia,New Zealand,Health & Medicine,Overgrad,10,Accepted
1291,AUC_TURKEY,Europe,Turkey,Foundational Advance(P),High School,23,Accepted
1416,Austin_Texas,North America,United States,Measurement,Overgrad,8,Accepted
1512,Baskent-Meds,Europe,Turkey,,Team not yet accepted,0,Pending
1283,Beijing_HDFLS_High,Asia,China,Health & Medicine(P),High School,20,Accepted
1438,Berlin,Europe,Germany,New Application,Overgrad,16,Accepted
1458,BGU_Israel,Europe,Israel,Health & Medicine,Overgrad,11,Accepted
1264,BHSF-Beijing,Asia,China,Environment(P),High School,17,Accepted
1465,Bielefeld-CeBiTec,Europe,Germany,Energy,Overgrad,15,Accepted
1527,Bilgi,Europe,Turkey,,Unspecified,0,Deleted
1263,BioScience_Dragons_AZ,North America,United States,,High School,6,Accepted
1471,BIOSINT_Mexico,Latin America,Mexico,Environment,Undergrad,18,Accepted
1265,Biotech_HS,North America,United States,,High School,19,Accepted
1407,BIT,Asia,China,Measurement,Undergrad,32,Accepted
1325,BIT-China,Asia,China,New Application,Overgrad,27,Accepted
1303,biYOLOgists,North America,United States,,High School,7,Accepted
1374,BJFU_CHINA,Asia,China,,Unspecified,0,Withdrawn
1405,BNU-China,Asia,China,Environment,Undergrad,24,Accepted
1317,Bordeaux,Europe,France,Manufacturing,Overgrad,25,Accepted
1401,BostonU,North America,United States,Measurement,Undergrad,5,Accepted
1521,Brasil-SP,Latin America,Brazil,Health & Medicine,Overgrad,36,Accepted
1390,Braunschweig,Europe,Germany,Environment,Overgrad,14,Accepted
1450,British_Columbia,North America,Canada,New Application,Undergrad,23,Accepted
1513,BUCT-China,Asia,China,Environment,Undergrad,18,Accepted
1550,BUGSS_Baltimore,North America,United States,Community Labs,Overgrad,12,Accepted
1356,BYU_Provo,North America,United States,Health & Medicine,Overgrad,14,Accepted
1444,Calgary,North America,Canada,Health & Medicine,Overgrad,24,Accepted
1369,Caltech,North America,United States,Foundational Advance,Undergrad,10,Accepted
