Team ID , Team  , Region , Country , Track , Section , Size , Status
2020,Aachen,Europe,Germany,New Application,Overgrad,21,Accepted
1907,Aalto-Helsinki,Europe,Finland,Environment,Overgrad,13,Accepted
2044,AHUT_China,Asia,China,Information Processing,Overgrad,20,Accepted
1917,Ain_Shams-Egypt,Africa,Egypt,Therapeutics,Undergrad,18,Accepted
1951,Aix-Marseille,Europe,France,Environment,Overgrad,23,Accepted
2145,Alverno_CA,North America,United States,High School,High_school,16,Accepted
2033,Arizona_State,North America,United States,Foundational Advance,Overgrad,13,Accepted
1885,ASIJ_Tokyo,Asia,Japan,High School,High_school,25,Accepted
2058,ATOMS_Turkiye,Europe,Turkey,,Undergrad,31,Withdrawn
2059,AUC_TURKEY,Europe,Turkey,High School,High_school,12,Accepted
2097,Austin_UTexas,North America,United States,New Application,Undergrad,21,Accepted
2098,Austin_UTexas_LASA,North America,United States,High School,High_school,13,Accepted
2187,Baltimore_BioCrew,North America,United States,High School,High_school,8,Accepted
2026,BGIC_China,Asia,China,High School,High_school,22,Accepted
2091,BGU_ISRAEL,Europe,Israel,Environment,Overgrad,16,Accepted
1971,BHU_China,Asia,China,High School,High_school,14,Accepted
2082,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Overgrad,15,Accepted
1946,Bilkent-UNAMBG,Europe,Turkey,Diagnostics,Undergrad,8,Accepted
2133,BioBricks,North America,United States,Foundational Advance,Overgrad,7,Accepted
2004,BIOSINT_Mexico,Latin America,Mexico,Manufacturing,Undergrad,10,Accepted
2041,BIT,Asia,China,Diagnostics,Undergrad,21,Accepted
2120,BIT-China,Asia,China,New Application,Undergrad,27,Accepted
2028,BNDS_China,Asia,China,High School,High_school,9,Accepted
1891,BNU-China,Asia,China,Foundational Advance,Undergrad,24,Accepted
1935,Bordeaux,Europe,France,Therapeutics,Overgrad,25,Accepted
1875,BostonU,North America,United States,Foundational Advance,Undergrad,11,Accepted
1876,BostonU_HW,North America,United States,Hardware,Undergrad,11,Accepted
2139,British_Columbia,North America,Canada,Manufacturing,Undergrad,12,Accepted
2185,BroadRun-Baltimore,North America,United States,High School,High_school,6,Accepted
2038,BroadRun-NorthernVA,North America,United States,,High_school,1,Deleted
2171,Bulgaria,Europe,Bulgaria,Food & Nutrition,Undergrad,13,Accepted
2148,Cambridge-JIC,Europe,United Kingdom,Foundational Advance,Overgrad,12,Accepted
2186,CAPS_Kansas,North America,United States,High School,High_school,7,Accepted
2060,Cardiff_Wales,Europe,United Kingdom,Diagnostics,Undergrad,11,Accepted
2103,CCA_SanDiego,North America,United States,High School,High_school,16,Accepted
2096,Central-Calgary,North America,Canada,High School,High_school,9,Accepted
1955,CGU_Taiwan,Asia,Taiwan,Therapeutics,Undergrad,14,Accepted
2030,Chalmers_Gothenburg,Europe,Sweden,Environment,Overgrad,17,Accepted
2172,CIEI-BJ,Asia,China,High School,High_school,12,Accepted
2079,CLS-London-UK,Europe,Unspecified,,High_school,1,Deleted
2078,CLSB-UK,Europe,United Kingdom,High School,High_school,12,Accepted
2156,ColegioFDR_Peru,Latin America,Peru,High School,High_school,19,Accepted
2166,CoLite-West-Point,North America,United States,,Team not yet accepted,1,Pending
2062,ColumbiaU_NYC,North America,United States,Environment,Undergrad,11,Accepted
2045,Concordia,North America,Canada,New Application,Undergrad,7,Accepted
1931,Cornell_NY,North America,United States,Food & Nutrition,Undergrad,10,Accepted
2161,CPU_CHINA,Asia,United States,,Unspecified,1,Withdrawn
1945,CSU_Fort_Collins,North America,United States,New Application,Undergrad,7,Accepted
2129,CU-Boulder,North America,United States,Manufacturing,Overgrad,9,Accepted
2160,Dalhousie_Halifax_NS,North America,Canada,Environment,Undergrad,12,Accepted
2184,Danci-K8,Europe,Israel,High School,High_school,15,Accepted
2111,Denver_Biolabs,North America,United States,Hardware,Overgrad,17,Accepted
2117,DTU-Denmark,Europe,Denmark,Manufacturing,Overgrad,22,Accepted
1936,Duesseldorf,Europe,Germany,Therapeutics,Undergrad,26,Accepted
1880,Duke,North America,United States,Manufacturing,Undergrad,9,Accepted
1962,Dundee,Europe,United Kingdom,Food & Nutrition,Undergrad,13,Accepted
1963,Dundee_Schools,Europe,United Kingdom,High School,High_school,8,Accepted
1968,Edinburgh_OG,Europe,United Kingdom,New Application,Overgrad,15,Accepted
1967,Edinburgh_UG,Europe,United Kingdom,Information Processing,Undergrad,16,Accepted
2146,Emory,North America,United States,Foundational Advance,Undergrad,9,Accepted
2181,EMW_Street_Bio,North America,United States,Hardware,Overgrad,3,Accepted
1941,EPFL,Europe,Switzerland,Information Processing,Overgrad,15,Accepted
2131,Ethiopia1,Africa,Ethiopia,,Unspecified,1,Withdrawn
2116,ETH_Zurich,Europe,Switzerland,Diagnostics,Overgrad,14,Accepted
2042,Evry,Europe,France,Manufacturing,Overgrad,18,Accepted
1874,Example,North America,United States,Diagnostics(P),Overgrad,14,Accepted
1914,Exeter,Europe,United Kingdom,Measurement,Overgrad,18,Accepted
