Team_ID,Team,Region,Country,Track,Section,Size,Status,Year
2020,Aachen,Europe,Germany,New_Application(P),Overgrad,21,Accepted,2016
1907,Aalto-Helsinki,Europe,Finland,,Overgrad,13,Accepted,2016
2044,AHUT_China,Asia,China,Information_Processing(P),Overgrad,20,Accepted,2016
1917,Ain_Shams-Egypt,Africa,Egypt,,Undergrad,18,Accepted,2016
1951,Aix-Marseille,Europe,France,,Overgrad,20,Accepted,2016
2145,Alverno_CA,North_America,United_States,,High_school,16,Accepted,2016
2033,Arizona_State,North_America,United_States,,Undergrad,13,Accepted,2016
1885,ASIJ_Tokyo,Asia,Japan,,High_school,25,Accepted,2016
2058,ATOMS_Turkiye,Europe,Turkey,,Undergrad,31,Accepted,2016
2059,AUC_TURKEY,Europe,Turkey,,High_school,12,Accepted,2016
2097,Austin_UTexas,North_America,United_States,,Undergrad,21,Accepted,2016
2098,Austin_UTexas_LASA,North_America,United_States,High_School,High_School,13,Accepted,2016
2026,BGIC_China,Asia,China,,High_school,20,Accepted,2016
2091,BGU_ISRAEL,Europe,Israel,,Overgrad,16,Accepted,2016
1971,BHU_China,Asia,China,,High_school,14,Accepted,2016
2082,Bielefeld-CeBiTec,Europe,Germany,,Overgrad,15,Accepted,2016
1946,Bilkent-UNAMBG,Europe,Turkey,,Undergrad,8,Accepted,2016
2133,BioBricks,North_America,United_States,,Overgrad,7,Accepted,2016
2004,BIOSINT_Mexico,Latin_America,Mexico,,Undergrad,10,Accepted,2016
2041,BIT,Asia,China,,Undergrad,20,Accepted,2016
2120,BIT-China,Asia,China,,Undergrad,27,Accepted,2016
2028,BNDS_China,Asia,China,,High_school,9,Accepted,2016
1891,BNU-China,Asia,China,Foundational_Advance(P),Undergrad,24,Accepted,2016
1935,Bordeaux,Europe,France,,Overgrad,25,Accepted,2016
1875,BostonU,North_America,United_States,,Undergrad,10,Accepted,2016
1876,BostonU_HW,North_America,United_States,Hardware(P),Undergrad,11,Accepted,2016
2139,British_Columbia,North_America,Canada,,Undergrad,8,Accepted,2016
2185,BroadRun-Baltimore,North_America,United_States,,High_school,6,Accepted,2016
2038,BroadRun-NorthernVA,North_America,United_States,,High_school,1,Deleted,2016
2171,Bulgaria,Europe,Bulgaria,,Undergrad,13,Accepted,2016
2148,Cambridge-JIC,Europe,United_Kingdom,,Overgrad,12,Accepted,2016
2186,CAPS_Kansas,North_America,United_States,,High_school,7,Accepted,2016
2060,Cardiff_Wales,Europe,United_Kingdom,,Undergrad,11,Accepted,2016
2103,CCA_SanDiego,North_America,United_States,,High_school,16,Accepted,2016
2096,Central-Calgary,North_America,Canada,,High_school,9,Accepted,2016
1955,CGU_Taiwan,Asia,Taiwan,,Undergrad,13,Accepted,2016
2030,Chalmers_Gothenburg,Europe,Sweden,Environment(P),Overgrad,17,Accepted,2016
2172,CIEI-BJ,Asia,China,,High_school,12,Accepted,2016
2079,CLS-London-UK,Europe,Unspecified,,High_school,1,Deleted,2016
2078,CLSB-UK,Europe,United_Kingdom,,High_school,12,Accepted,2016
2156,ColegioFDR_Peru,Latin_America,Peru,,High_school,19,Accepted,2016
2166,CoLite-West-Point,North_America,United_States,,Team_not_yet_accepted,1,Pending,2016
2062,ColumbiaU_NYC,North_America,United_States,Environment(P),Undergrad,11,Accepted,2016
2045,Concordia,North_America,Canada,,Undergrad,7,Accepted,2016
1931,Cornell_NY,North_America,United_States,,Undergrad,10,Accepted,2016
2161,CPU_CHINA,Asia,United_States,,Team_not_yet_accepted,1,Pending,2016
1945,CSU_Fort_Collins,North_America,United_States,,Undergrad,7,Accepted,2016
2129,CU-Boulder,North_America,United_States,,Overgrad,9,Accepted,2016
2160,Dalhousie_Halifax_NS,North_America,Canada,,Undergrad,10,Accepted,2016
2184,Danci-K8,Europe,Israel,,High_school,15,Accepted,2016
2111,Denver_Biolabs,North_America,United_States,,Overgrad,17,Accepted,2016
2117,DTU-Denmark,Europe,Denmark,,Overgrad,20,Accepted,2016
1936,Duesseldorf,Europe,Germany,Therapeutics(P),Undergrad,26,Accepted,2016
1880,Duke,North_America,United_States,Manufacturing(P),Undergrad,9,Accepted,2016
1962,Dundee,Europe,United_Kingdom,,Undergrad,13,Accepted,2016
1963,Dundee_Schools,Europe,United_Kingdom,,High_school,8,Accepted,2016
1968,Edinburgh_OG,Europe,United_Kingdom,,Overgrad,15,Accepted,2016
1967,Edinburgh_UG,Europe,United_Kingdom,Information_Processing(P),Undergrad,16,Accepted,2016
2146,Emory,North_America,United_States,,Undergrad,9,Accepted,2016
2181,EMW_Street_Bio,North_America,United_States,,Unspecified,1,Accepted,2016
1941,EPFL,Europe,Switzerland,Information_Processing(P),Overgrad,15,Accepted,2016
2131,Ethiopia1,Africa,Ethiopia,,Unspecified,1,Withdrawn,2016
2116,ETH_Zurich,Europe,Switzerland,Diagnostics(P),Overgrad,13,Accepted,2016
2042,Evry,Europe,France,Manufacturing(P),Overgrad,18,Accepted,2016
1874,Example,North_America,United_States,Diagnostics(P),Overgrad,11,Accepted,2016
1914,Exeter,Europe,United_Kingdom,Measurement(P),Overgrad,18,Accepted,2016
2074,FAFU-CHINA,Asia,China,,Undergrad,20,Accepted,2016
2169,FAU_Erlangen,Europe,Germany,,Overgrad,14,Accepted,2016
2114,Freiburg,Europe,Germany,,Overgrad,17,Accepted,2016
1925,Fudan,Asia,China,,Undergrad,12,Accepted,2016
1877,Gaston_Day,North_America,United_States,Environment(P),Undergrad,11,Accepted,2016
2089,GDSYZX-United,Asia,China,,High_school,17,Accepted,2016
2128,Genspace,North_America,United_States,,Overgrad,28,Accepted,2016
1915,Georgia_State,North_America,United_States,Manufacturing(P),Overgrad,7,Accepted,2016
